DateTimeIndex,Month,Year,Subsector,Sales
2012-01-01,Jan,2012,Building Material and Garden Equipment and Supplies Dealers,35924
2012-01-01,Jan,2012,Clothing and Clothing Accessories Stores,37888
2012-01-01,Jan,2012,Electronics and Appliance Stores,15664
2012-01-01,Jan,2012,Food and Beverage Retailers,141867
2012-01-01,Jan,2012,Food Services and Drinking Places,110338
2012-01-01,Jan,2012,Furniture and Home Furnishings Stores,31318
2012-01-01,Jan,2012,Gasoline Stations,41406
2012-01-01,Jan,2012,General Merchandise Stores,136929
2012-01-01,Jan,2012,Health and Personal Care Stores,42144
2012-01-01,Jan,2012,Miscellaneous Store Retailers,14371
2012-01-01,Jan,2012,Motor Vehicle and Parts Dealers,230506
2012-01-01,Jan,2012,Nonstore Retailers,61880
2012-01-01,Jan,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11342
2012-01-01,Jan,2012,Unknown,1865595
2012-02-01,Feb,2012,Building Material and Garden Equipment and Supplies Dealers,36865
2012-02-01,Feb,2012,Clothing and Clothing Accessories Stores,46894
2012-02-01,Feb,2012,Electronics and Appliance Stores,16512
2012-02-01,Feb,2012,Food and Beverage Retailers,138501
2012-02-01,Feb,2012,Food Services and Drinking Places,113608
2012-02-01,Feb,2012,Furniture and Home Furnishings Stores,32535
2012-02-01,Feb,2012,Gasoline Stations,42218
2012-02-01,Feb,2012,General Merchandise Stores,148917
2012-02-01,Feb,2012,Health and Personal Care Stores,41664
2012-02-01,Feb,2012,Miscellaneous Store Retailers,15226
2012-02-01,Feb,2012,Motor Vehicle and Parts Dealers,261336
2012-02-01,Feb,2012,Nonstore Retailers,60095
2012-02-01,Feb,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",10256
2012-02-01,Feb,2012,Unknown,1948330
2012-03-01,Mar,2012,Building Material and Garden Equipment and Supplies Dealers,47107
2012-03-01,Mar,2012,Clothing and Clothing Accessories Stores,53712
2012-03-01,Mar,2012,Electronics and Appliance Stores,17014
2012-03-01,Mar,2012,Food and Beverage Retailers,148746
2012-03-01,Mar,2012,Food Services and Drinking Places,126746
2012-03-01,Mar,2012,Furniture and Home Furnishings Stores,35113
2012-03-01,Mar,2012,Gasoline Stations,48397
2012-03-01,Mar,2012,General Merchandise Stores,159345
2012-03-01,Mar,2012,Health and Personal Care Stores,43783
2012-03-01,Mar,2012,Miscellaneous Store Retailers,15535
2012-03-01,Mar,2012,Motor Vehicle and Parts Dealers,299900
2012-03-01,Mar,2012,Nonstore Retailers,62582
2012-03-01,Mar,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",12169
2012-03-01,Mar,2012,Unknown,2152082
2012-04-01,Apr,2012,Building Material and Garden Equipment and Supplies Dealers,49785
2012-04-01,Apr,2012,Clothing and Clothing Accessories Stores,49594
2012-04-01,Apr,2012,Electronics and Appliance Stores,14482
2012-04-01,Apr,2012,Food and Beverage Retailers,143705
2012-04-01,Apr,2012,Food Services and Drinking Places,120795
2012-04-01,Apr,2012,Furniture and Home Furnishings Stores,30843
2012-04-01,Apr,2012,Gasoline Stations,47664
2012-04-01,Apr,2012,General Merchandise Stores,151806
2012-04-01,Apr,2012,Health and Personal Care Stores,41657
2012-04-01,Apr,2012,Miscellaneous Store Retailers,14616
2012-04-01,Apr,2012,Motor Vehicle and Parts Dealers,270488
2012-04-01,Apr,2012,Nonstore Retailers,57758
2012-04-01,Apr,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11169
2012-04-01,Apr,2012,Unknown,2046102
2012-05-01,May,2012,Building Material and Garden Equipment and Supplies Dealers,56513
2012-05-01,May,2012,Clothing and Clothing Accessories Stores,52785
2012-05-01,May,2012,Electronics and Appliance Stores,15910
2012-05-01,May,2012,Food and Beverage Retailers,152400
2012-05-01,May,2012,Food Services and Drinking Places,125493
2012-05-01,May,2012,Furniture and Home Furnishings Stores,34402
2012-05-01,May,2012,Gasoline Stations,49198
2012-05-01,May,2012,General Merchandise Stores,159285
2012-05-01,May,2012,Health and Personal Care Stores,43065
2012-05-01,May,2012,Miscellaneous Store Retailers,16513
2012-05-01,May,2012,Motor Vehicle and Parts Dealers,293704
2012-05-01,May,2012,Nonstore Retailers,61349
2012-05-01,May,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11889
2012-05-01,May,2012,Unknown,2180739
2012-06-01,Jun,2012,Building Material and Garden Equipment and Supplies Dealers,50600
2012-06-01,Jun,2012,Clothing and Clothing Accessories Stores,49754
2012-06-01,Jun,2012,Electronics and Appliance Stores,16018
2012-06-01,Jun,2012,Food and Beverage Retailers,148812
2012-06-01,Jun,2012,Food Services and Drinking Places,124568
2012-06-01,Jun,2012,Furniture and Home Furnishings Stores,33357
2012-06-01,Jun,2012,Gasoline Stations,46483
2012-06-01,Jun,2012,General Merchandise Stores,156840
2012-06-01,Jun,2012,Health and Personal Care Stores,40448
2012-06-01,Jun,2012,Miscellaneous Store Retailers,15716
2012-06-01,Jun,2012,Motor Vehicle and Parts Dealers,278562
2012-06-01,Jun,2012,Nonstore Retailers,57759
2012-06-01,Jun,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",12398
2012-06-01,Jun,2012,Unknown,2090779
2012-07-01,Jul,2012,Building Material and Garden Equipment and Supplies Dealers,47633
2012-07-01,Jul,2012,Clothing and Clothing Accessories Stores,48541
2012-07-01,Jul,2012,Electronics and Appliance Stores,16380
2012-07-01,Jul,2012,Food and Beverage Retailers,149423
2012-07-01,Jul,2012,Food Services and Drinking Places,124371
2012-07-01,Jul,2012,Furniture and Home Furnishings Stores,34137
2012-07-01,Jul,2012,Gasoline Stations,46658
2012-07-01,Jul,2012,General Merchandise Stores,152202
2012-07-01,Jul,2012,Health and Personal Care Stores,40714
2012-07-01,Jul,2012,Miscellaneous Store Retailers,15512
